1|VIN10001|Loan|15.00|60|30.50|8.75|0.63
1|VIN10003|Loan|12.00|60|40.30|8.75|0.83
1|VIN10004|Loan|900000.00|36|3600000.00|8.50|115246.67
1|VIN10005|Cash|5000000.00|0|0.00|0.00|0.00
2|VIN20004|Loan|800000.00|48|3200000.00|9.20|80305.31
2|VIN20005|Loan|600000.00|60|2400000.00|9.50|50234.43
2|VIN20006|Cash|4500000.00|0|0.00|0.00|0.00
3|VIN30003|Loan|500000.00|36|2000000.00|8.75|63532.08
3|VIN30004|Cash|2200000.00|0|0.00|0.00|0.00
4|VIN40004|Loan|750000.00|48|3000000.00|9.00|74810.57
4|VIN40005|Cash|3800000.00|0|0.00|0.00|0.00
5|VIN50003|Loan|400000.00|60|1600000.00|8.80|33217.80
5|VIN50004|Loan|600000.00|36|2400000.00|8.60|76279.36
5|VIN50005|Cash|2800000.00|0|0.00|0.00|0.00
